Intercept y y2s y3s y4s x x2s x3s x4s w w2s w3s w4s quantile type sex
-0.6762 1.6316 -2.0498 8.2301 -0.4293 0.3859 -0.0052 0.0017 0.0314 -0.0748 0.3067 -0.4907 0.1753 0.63 dia M
0.0177 1.3931 -1.7224 6.2104 3.6700 0.3980 -0.0060 0.0074 0.0231 -0.0781 0.3064 -0.4907 0.1763 0.64 dia M
1.8242 1.4415 -1.8531 7.4867 0.3209 0.3810 -0.0045 -0.0055 0.0517 -0.0808 0.3148 -0.5040 0.1810 0.65 dia M
3.3864 1.5296 -1.8957 8.1805 -2.7140 0.3667 -0.0046 -0.0044 0.0516 -0.0669 0.2582 -0.4028 0.1272 0.66 dia M
1.4518 1.5557 -2.0588 9.8910 -7.5275 0.3836 -0.0047 -0.0045 0.0515 -0.0676 0.2556 -0.3964 0.1218 0.67 dia M
-0.2228 1.7851 -2.3148 11.3445 -10.9345 0.3835 -0.0048 -0.0063 0.0572 -0.0663 0.2738 -0.4312 0.1425 0.68 dia M
-1.2686 1.8480 -2.3626 11.0795 -8.9995 0.3885 -0.0049 -0.0053 0.0531 -0.0765 0.3143 -0.5003 0.1745 0.69 dia M
-1.1771 1.9498 -2.3300 9.7844 -3.6954 0.3820 -0.0052 -0.0022 0.0473 -0.0778 0.3354 -0.5421 0.2020 0.7 dia M
-1.5905 1.9246 -2.2012 8.7588 -1.7051 0.3900 -0.0063 0.0071 0.0279 -0.0723 0.3150 -0.5067 0.1847 0.71 dia M
1.3907 1.7403 -1.9434 6.9646 2.6064 0.3789 -0.0060 0.0072 0.0262 -0.0787 0.3279 -0.5282 0.1939 0.72 dia M
